1.467856105552556e-07, 2.019083357040295e+00, 3.113521287105061e-04, 3.113521287105061e-04, 3.113520830085005e-04, 3.113521744125184e-04, 7.466259515407707e+00
3.486939794683508e-07, 2.019083020061647e+00, 7.396270687895701e-04, 7.396270687895701e-04, 7.396268108861542e-04, 7.396273266930761e-04, 9.345064742375991e+00
6.339890405993032e-07, 2.019082543913505e+00, 1.344776427913326e-03, 1.344776427913326e-03, 1.344775575340349e-03, 1.344777280486844e-03, 1.064325181624636e+01
1.152707304274969e-06, 2.019081678190398e+00, 2.445047851130223e-03, 2.445047851130223e-03, 2.445045032708954e-03, 2.445050669554740e-03, 1.194143931787081e+01
2.095831322046493e-06, 2.019080104150982e+00, 4.445540886461866e-03, 4.445540886461866e-03, 4.445531569377560e-03, 4.445550203565699e-03, 1.323962759546823e+01
3.810601939990832e-06, 2.019077242269724e+00, 8.082799426420597e-03, 8.082799426420597e-03, 8.082768626206790e-03, 8.082830226751771e-03, 1.453781728446708e+01
6.928365631209132e-06, 2.019072038877643e+00, 1.469599173413733e-02, 1.469599173413733e-02, 1.469588991563872e-02, 1.469609355334138e-02, 1.583600953983205e+01
1.259702335487667e-05, 2.019062578258620e+00, 2.671996109418219e-02, 2.671996109418219e-02, 2.671962450644825e-02, 2.672029768615613e-02, 1.713420646114606e+01
2.290366208157479e-05, 2.019045377443364e+00, 4.858166851184854e-02, 4.858166851184854e-02, 4.858055583921386e-02, 4.858278120996749e-02, 1.843241186580460e+01
4.164296660902345e-05, 2.019014104259368e+00, 8.833004545171598e-02, 8.833004545171598e-02, 8.832636727975265e-02, 8.833372377684930e-02, 1.973063269422288e+01
7.571430174291294e-05, 2.018957247314888e+00, 1.605992200495563e-01, 1.605992200495563e-01, 1.605870613123401e-01, 1.606113797073629e-01, 2.102888156427208e+01
1.376617618389364e-04, 2.018853882257719e+00, 2.919957303713827e-01, 2.919957303713827e-01, 2.919555392574699e-01, 2.920359270180751e-01, 2.232718141385008e+01
2.502921125173696e-04, 2.018665982825429e+00, 5.308919013856618e-01, 5.308919013856618e-01, 5.307590565801525e-01, 5.310247794411780e-01, 2.362557393613690e+01
4.550699567413830e-04, 2.018324469878132e+00, 9.652268403527233e-01, 9.652268403527233e-01, 9.647877944128552e-01, 9.656660860892082e-01, 2.492413489688893e+01
8.273780641832040e-04, 2.017703941542635e+00, 1.754854876254927e+00, 1.754854876254927e+00, 1.753404148125121e+00, 1.756306804685365e+00, 2.622300191987551e+01
1.504251491576847e-03, 2.016577043042059e+00, 3.190304683825275e+00, 3.190304683825275e+00, 3.185512871337129e+00, 3.195103704404504e+00, 2.752242479372359e+01
2.734763792285433e-03, 2.014532539295825e+00, 5.799428202856980e+00, 5.799428202856980e+00, 5.783611391833943e+00, 5.815288269122113e+00, 2.882285623985028e+01
4.971507750895166e-03, 2.010829753655268e+00, 1.054069337740169e+01, 1.054069337740169e+01, 1.048854947240399e+01, 1.059309651622725e+01, 3.012511464630663e+01
9.036491799765844e-03, 2.004144970987167e+00, 1.915259439348328e+01, 1.915259439348328e+01, 1.898107209118056e+01, 1.932566665566423e+01, 3.143067242107149e+01
1.642133727212647e-02, 1.992145902786621e+00, 3.478222743928969e+01, 3.478222743928969e+01, 3.422028460425506e+01, 3.535339812714608e+01, 3.274215582007627e+01
2.982833007501107e-02, 1.970829664921215e+00, 6.310594086559982e+01, 6.310594086559982e+01, 6.127811696635232e+01, 6.498828569943306e+01, 3.406417540516956e+01
5.413823187163702e-02, 1.933655551895516e+00, 1.142932813306797e+02, 1.142932813306797e+02, 1.084234286121569e+02, 1.204809174967303e+02, 3.540459133073108e+01
9.811601705027950e-02, 1.870907107000371e+00, 2.063328678381915e+02, 2.063328678381915e+02, 1.878971480558453e+02, 2.265774270170366e+02, 3.677608320349176e+01
1.601007482188128e-01, 1.791277140920541e+00, 3.348153912326964e+02, 3.348153912326964e+02, 2.886088917249324e+02, 3.884195858842256e+02, 3.794650560446745e+01
2.228138016365144e-01, 1.719851014730444e+00, 4.632978948691803e+02, 4.632978948691803e+02, 3.788785293796489e+02, 5.665270601151765e+02, 3.876610329366282e+01
