-11.6169 -12.5837  1.69158e-70
15.7989 -15.9433  0
-2.91565 -18.875  4.6677e-70
-12.9722 -16.4373  2.02707e-299
10.8921 -5.4385  0
6.76133 16.1693  1.21528e-29
10.9769 14.8658  3.16941e-16
-8.04019 2.39405  6.42603e-33
15.3808 11.3146  2.84383e-101
-10.6801 -2.25948  2.54096e-45
-5.75461 -5.33542  6.87148e-183
-5.32556 -8.40162  2.2228e-154
19.7448 -13.2684  1.2895e-185
-15.3891 -17.1234  1.42779e-45
-15.8945 1.54653  0
-16.7381 16.9673  1.20885e-211
7.45054 -5.06102  3.64472e-73
14.7178 -12.1832  3.15961e-40
8.63815 -9.69284  3.53606e-51
-10.6247 -12.0102  1.89495e-63
14.1852 -0.387269  1.1907e-321
-1.80909 4.85597  4.23029e-15
-1.05366 15.4364  1.4904e-33
-1.69123 14.5673  0.334878
-5.71695 5.65481  0.0181187
2.26035 5.13687  8.98752e-55
-3.04295 -15.1359  2.54497e-14
12.9934 2.778  2.96519e-244
-8.69852 -6.10691  2.72218e-12
18.1729 10.8702  2.52942e-203
15.2536 -16.8148  5.90595e-65
-15.6504 15.2061  9.6149e-79
8.24242 -19.7071  8.65822e-75
-15.3372 5.06172  2.37635e-160
-8.80645 -19.2979  1.18589e-161
13.234 -6.45262  0
-2.81579 -6.53905  1.78249e-28
16.157 14.4892  5.0468e-133
5.55735 -12.07  5.15704e-70
19.752 -12.6757  1.65819e-105
2.55012 -16.2836  2.30869e-43
-7.12216 -19.2069  1.90191e-183
-14.4487 13.0073  0
-13.0553 -16.469  7.66169e-79
-3.52138 -7.23068  0
-11.7095 -10.9518  9.15051e-149
-2.50098 7.95875  4.94066e-324
-10.8427 12.4374  2.304e-22
-10.9295 7.56685  1.72613e-51
-17.2432 -1.56266  3.0056e-86
15.1248 15.6244  1.19716e-276
-6.24583 -8.27814  2.31883e-68
-18.0704 14.1926  1.1677e-196
-14.1996 19.7633  3.49821e-107
5.25621 13.6972  2.25675e-38
18.4534 -0.589815  3.09347e-05
-10.1255 -7.04621  2.90701e-26
-7.97929 -2.75757  1.50114e-237
-2.87147 4.97826  6.49437e-153
-14.0015 -2.79214  3.24452e-39
15.9439 1.42669  8.93702e-240
1.77014 19.04  2.08891e-19
-19.333 -5.21434  1.50692e-07
-19.6506 1.60887  0
-5.72164 8.69487  1.50668e-272
-0.969059 -10.0978  1.21834e-36
17.5405 17.2661  2.95957e-151
14.6214 -5.21767  7.47762e-105
-4.39007 19.4184  4.22765e-23
-2.86384 16.6246  0.00678715
-10.4957 6.9799  0.026936
15.8482 18.7355  9.99638e-87
2.63196 -15.6319  7.07339e-99
-12.7131 -8.8393  2.33886e-174
-9.17642 -7.19778  5.10463e-308
-13.5281 -17.1727  5.39319e-225
9.2373 -9.30812  0
5.66287 16.6745  1.88386e-57
-13.9568 -2.53698  1.98936e-13
-18.9982 -15.5086  1.56494e-235
-18.9227 -7.02444  0
5.44306 -16.7258  0
-4.08135 10.4686  1.76677e-155
-8.34002 4.80673  1.36585e-19
-16.0192 -17.2014  1.60953e-83
-17.0971 8.60597  0
-18.0315 16.4753  3.35746e-147
2.01159 6.3643  4.74169e-89
-10.96 5.0695  3.89009e-11
8.30154 11.277  4.66094e-108
-9.45406 2.69353  4.17661e-09
-11.0885 16.6396  1.13213e-113
-17.4548 -8.16116  5.6466e-32
2.68514 -15.717  0
-6.9694 10.7777  9.09676e-175
-17.2045 -1.72308  1.02609e-33
-7.55685 9.21065  2.42262e-278
-2.97084 4.3425  4.11691e-46
-7.4127 8.60621  1.41165e-43
0.204267 6.1561  1.10096e-48
-17.1223 12.1457  6.30642e-18
5.19653 17.6293  7.46931e-114
16.9816 15.8728  1.18186e-14
-4.9649 13.0056  9.29915e-88
-11.7816 -13.2352  1.45653e-14
4.20507 -2.93968  0
19.9643 2.39781  3.49872e-44
-0.578336 19.9458  6.72568e-40
0.484009 3.91722  0.000126662
-6.13753 17.145  2.65783e-26
-2.65321 17.4266  2.21768e-08
-7.63617 8.28382  0.0933354
-2.093 12.7995  2.35445e-52
-10.8909 5.00057  7.05882e-06
-6.59336 -0.769523  6.2172e-108
16.1587 -2.76831  1.08083e-115
-16.2644 7.96661  8.33888e-20
13.136 -8.43513  5.34222e-143
-0.773512 -12.7785  6.31651e-37
8.06041 4.86549  6.04192e-181
15.5026 -14.3631  5.06064e-06
-9.45933 -11.6089  4.18833e-61
15.0552 -1.54701  1.44914e-294
-19.1499 6.5981  3.56711e-17
0.742926 5.30818  2.03675e-198
-18.2723 -2.22514  4.03797e-19
19.8683 19.1573  4.05606e-305
-5.1277 14.7653  9.26938e-151
8.22895 -11.3149  2.75397e-10
-2.11379 12.7067  2.93729e-78
0.414986 3.10952  4.1061e-06
12.473 -4.26257  1.33948e-30
-2.84996 14.9647  3.37617e-22
-7.0322 -11.7221  0.00063307
15.4872 -0.500214  4.9391e-256
18.9008 -0.667358  1.8518e-17
-16.6987 0.0693896  6.16012e-28
-11.0415 2.91532  4.20367e-244
-11.8553 -13.8405  9.34181e-130
-12.1811 -17.2256  0
2.77175 4.06352  0
10.8416 -14.6237  1.89606e-16
14.9474 3.72847  1.50493e-87
-2.2418 -4.67483  1.09567e-18
17.5297 -0.669057  5.20169e-108
16.1905 -4.50957  6.41331e-23
8.62438 17.8315  6.01955e-22
12.1733 -6.55263  1.37449e-32
14.7421 -3.75942  4.34885e-31
13.5811 4.79433  7.4934e-20
13.2741 -18.7465  1.99447e-15
1.76217 14.216  1.62571e-106
0.759917 14.8992  0.600113
0.163621 14.1612  0.836473
0.35755 14.122  0.552739
-0.482379 14.9299  0.654553
0.00476246 13.735  0.489031
0.00715244 13.746  0.261283
-2.57462 14.979  0.266766
-5.17251 10.2771  0.00211254
-3.31315 7.16743  8.9934e-26
14.8618 -19.922  3.52012e-30
9.08275 4.52174  3.65895e-106
11.3609 15.6686  1.1642e-06
-13.2093 1.08824  2.86907e-39
-9.98526 8.92053  6.51415e-178
3.28173 14.3806  2.94579e-67
2.78377 -10.6691  0.0173358
-11.7626 -5.20214  2.48746e-117
2.16362 17.6561  1.54775e-237
-14.1544 11.8617  1.9559e-05
6.34996 -3.45156  1.84724e-84
-16.2667 18.8299  2.27093e-36
6.70022 15.9919  5.91565e-58
18.7518 -13.93  2.17291e-15
9.89441 -19.7063  1.13681e-49
-4.15784 -6.76329  6.05225e-144
18.3991 -10.0322  4.17072e-151
-8.87024 6.77506  3.03611e-35
-0.337167 12.7777  5.01466e-73
-4.09076 -12.7539  0.0141998
-16.1378 -7.78149  6.24343e-226
-19.2213 13.3765  0
1.9824 13.1744  1.03016e-127
2.53532 13.4846  0.718068
4.07271 14.2835  0.4057
-4.72003 -6.16804  0.00116255
-1.42047 5.26618  3.67387e-151
5.02498 10.7594  2.51721e-29
11.6144 -3.50687  0.0345778
16.6319 -5.22805  5.20543e-21
15.5849 13.7284  1.79435e-23
7.00688 3.87429  3.30674e-60
